Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97,Pub3,Pub5,Pub10,Pub25,Pub50,Pub75,Pub90,Pub95,Pub97,Diff3,Diff5,Diff10,Diff25,Diff50,Diff75,Diff90,Diff95,Diff97
1,0,1.267004226,49.98888408,0.053112191,44.9250978,45.5684091,46.55429302,48.18937381,49.98888408,51.77125749,53.36153475,54.30721197,54.91900445,45.00612553,45.63915075,46.60925664,48.218174,49.98888408,51.74273158,53.30756232,54.23810497,54.84011528,-0.081027735,-0.070741647,-0.054963622,-0.02880019,0,0.028525908,0.053972428,0.069107007,0.078889173
1,0.5,0.511237696,52.6959753,0.048692684,47.97812373,48.55809206,49.45780383,50.97918889,52.6959753,54.44054313,56.03444099,56.99907737,57.62984323,48.04973769,48.6209095,49.506962,51.00525369,52.6959753,54.41405653,55.98376034,56.9337518,57.55495075,-0.071613958,-0.062817443,-0.049158167,-0.026064794,0,0.026486606,0.050680658,0.065325576,0.074892481
1,1.5,-0.45224446,56.62842855,0.04411683,52.19859469,52.72610659,53.55364657,54.97910441,56.62842855,58.35059408,59.96640329,60.96465379,61.62591488,52.26116691,52.781234,53.59708281,55.00240616,56.62842855,58.32626315,59.91924919,60.90339687,61.55532574,-0.062572221,-0.055127414,-0.043436247,-0.023301752,0,0.024330926,0.047154107,0.061256919,0.07058914
1,2.5,-0.990594599,59.60895343,0.041795583,55.2632178,55.7734505,56.57772145,57.97439882,59.60895343,61.33788093,62.981581,64.00788549,64.69240909,55.32153252,55.82492468,56.61840131,57.99633728,59.60895343,61.31467574,62.93631975,63.94885006,64.62419672,-0.05831472,-0.051474179,-0.040679858,-0.021938467,0,0.023205197,0.045261255,0.059035426,0.068212371
1,3.5,-1.285837689,62.07700027,0.040454126,57.73049293,58.23744339,59.03830227,60.43433439,62.07700027,63.82542604,65.49858004,66.5488903,67.25189597,57.78649885,58.28692327,59.07746094,60.45550522,62.07700027,63.80289207,65.45448755,66.49126189,67.18521797,-0.056005918,-0.049479876,-0.039158669,-0.021170834,0,0.022533976,0.044092493,0.057628415,0.066678
1,4.5,-1.43031238,64.2168641,0.039633879,59.82568616,60.33646905,61.14409605,62.55408849,64.2168641,65.99130663,67.69404787,68.76537757,69.48353966,59.88038198,60.38480884,61.18237422,62.57480445,64.2168641,65.96919935,67.65073205,68.70871502,69.41794083,-0.054695815,-0.048339785,-0.038278172,-0.020715957,0,0.022107282,0.043315815,0.056662556,0.065598829
1,5.5,-1.47657547,66.1253149,0.039123813,61.66383709,62.18260807,63.00295962,64.43546338,66.1253149,67.92934759,69.6612233,70.75128299,71.48218225,61.71780444,62.23030651,63.04073288,64.45590909,66.1253149,67.90752029,69.61844727,70.69531881,71.4173861,-0.053967346,-0.04769844,-0.037773255,-0.020445705,0,0.021827302,0.042776027,0.05596418,0.064796146
1,6.5,-1.456837849,67.8601799,0.038811994,63.31224239,63.84166131,64.6785365,66.13895735,67.8601799,69.6957947,71.45609163,72.56306798,73.30488349,63.36584892,63.889034,64.71604295,66.15925026,67.8601799,69.67415303,71.4137019,72.50762781,73.24070888,-0.053606526,-0.047372698,-0.03750644,-0.020292905,0,0.021641676,0.042389733,0.055440174,0.064174611
1,7.5,-1.391898768,69.45908458,0.038633209,64.8139542,65.35583849,66.21181225,67.70375,69.45908458,71.32735362,73.11524683,74.23766746,74.98899282,64.86744574,65.40309649,66.24921112,67.72396873,69.45908458,71.30583396,73.07313903,74.18263173,74.92531457,-0.053491543,-0.047257996,-0.037398869,-0.020218728,0,0.021519663,0.042107799,0.055035724,0.063678246
1,8.5,-1.29571459,70.94803912,0.038546833,66.1983257,66.75397985,67.63087749,69.15681718,70.94803912,72.84947001,74.66409757,75.80074408,76.56047112,66.25187348,66.80126999,67.66827946,69.17701631,70.94803912,72.82802797,74.62219816,75.74602764,76.49719914,-0.053547779,-0.047290146,-0.037401976,-0.020199135,0,0.021442034,0.041899406,0.054716443,0.06327198
1,9.5,-1.177919048,72.34586111,0.038526262,67.48634824,68.05674555,68.95590629,70.51760636,72.34586111,74.2806019,76.1211038,77.2709525,78.03819367,67.54007513,68.10417305,68.99339048,70.53782479,72.34586111,74.25920575,76.07935957,77.21649287,77.97526103,-0.053726891,-0.047427499,-0.037484183,-0.020218434,0,0.021396148,0.041744234,0.054459635,0.062932644
1,10.5,-1.045326049,73.6666541,0.038553387,68.69360304,69.27949219,70.20192461,71.80064815,73.6666541,75.63461845,77.50015825,78.66233936,79.43637498,68.7475992,69.32713403,70.23954867,71.82091411,73.6666541,75.61324507,77.45852984,78.60808958,79.37373061,-0.053996154,-0.047641841,-0.037624064,-0.020265962,0,0.021373387,0.041628416,0.05424978,0.062644369
1,11.5,-0.902800887,74.92129717,0.038615501,69.83200143,70.43397431,71.38045547,73.01711846,74.92129717,76.92224328,78.81201697,79.98578218,80.76602067,69.88633417,70.48188777,71.41826211,73.03745271,74.92129717,76.90087558,78.77047479,79.93170629,80.7036248,-0.054332731,-0.047913462,-0.03780664,-0.020334253,0,0.021367698,0.041542175,0.054075888,0.062395866
1,12.5,-0.753908107,76.11837536,0.038703461,70.91087824,71.52941204,72.50054958,74.17581483,76.11837536,78.15195849,80.06520155,81.24990316,82.03585474,70.96559835,71.57764016,72.53857067,74.19623275,76.11837536,78.13058376,80.02372308,81.19597313,81.97367578,-0.054720113,-0.048228118,-0.038021089,-0.020417921,0,0.021374727,0.041478472,0.053930031,0.062178959
1,13.5,-0.601263523,77.26479911,0.038810557,71.93769721,72.57318381,73.56945922,75.28380189,77.26479911,79.33060669,81.26659566,82.46166865,83.25292428,71.99284334,72.62175913,73.60771866,75.30431489,77.26479911,79.30921541,81.22516353,82.40786231,83.19093672,-0.055146135,-0.048575316,-0.038259443,-0.020513003,0,0.021391284,0.041432131,0.053806338,0.061987555
1,14.5,-0.446805039,78.36622309,0.038931784,72.91853025,73.57129631,74.59309471,76.34684777,78.36622309,80.46379892,82.42185154,83.62680003,84.4230157,72.97413192,73.6202435,74.63161045,76.36746432,78.36622309,80.44238393,82.38045224,83.57309961,84.36119864,-0.055601675,-0.04894719,-0.03851574,-0.020616544,0,0.021414993,0.041399298,0.053700419,0.061817063
1,15.5,-0.291974772,79.4273405,0.039063356,73.8583906,74.5287119,75.57634333,77.36973004,79.4273405,81.55620169,83.53567593,84.75006241,85.55094704,73.91447032,74.57804959,75.61512873,77.39045632,79.4273405,81.53475764,83.4942989,84.69645352,85.48928313,-0.056079717,-0.049337698,-0.038785401,-0.020726282,0,0.021444056,0.041377032,0.053608887,0.061663912
