Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,0,1.815151075,3.530203168,0.152385273,2.355450986,2.52690402,2.773801848,3.150611082,3.530203168,3.879076559,4.17249339,4.34029274,4.446488308
1,0.5,1.547523128,4.003106424,0.146025021,2.799548641,2.964655655,3.209510017,3.597395573,4.003106424,4.387422565,4.718161283,4.910130108,5.032624982
1,1.5,1.068795548,4.879525083,0.136478767,3.614688072,3.774848862,4.020561446,4.428872952,4.879525083,5.327327567,5.728152752,5.967101615,6.121929103
1,2.5,0.695973505,5.672888765,0.129677511,4.34234145,4.503255345,4.754479354,5.183377547,5.672888765,6.175598158,6.638979132,6.921119162,7.106250132
1,3.5,0.41981509,6.391391982,0.124717085,4.992897896,5.157411653,5.416802856,5.866806254,6.391391982,6.942217106,7.460702368,7.781401145,7.993878049
1,4.5,0.219866801,7.041836432,0.121040119,5.575169066,5.744751566,6.01371624,6.484969167,7.041836432,7.635323002,8.202193202,8.556813353,8.793443663
1,5.5,0.077505598,7.630425182,0.1182712,6.096775274,6.272175299,6.551379244,7.043626918,7.630425182,8.262032991,8.871384112,9.255614546,9.51330656
1,6.5,-0.02190761,8.162951035,0.116153695,6.564430346,6.745992665,7.035656404,7.548345716,8.162951035,8.828786159,9.47546616,9.885435743,10.16135019
1,7.5,-0.0894409,8.644832479,0.114510349,6.984123338,7.171952393,7.472021438,8.004398775,8.644832479,9.34149038,10.02101374,10.45331433,10.74492376
1,8.5,-0.1334091,9.081119817,0.113217163,7.361236116,7.555286752,7.865532922,8.416718775,9.081119817,9.805593364,10.51406421,10.96573632,11.27083843
1,9.5,-0.1600954,9.476500305,0.11218624,7.700624405,7.90075516,8.220839211,8.789881892,9.476500305,10.22612395,10.96017225,11.42867623,11.74538465
1,10.5,-0.17429685,9.835307701,0.111354536,8.006677447,8.212683538,8.542195484,9.128109523,9.835307701,10.60772151,11.36445045,11.84763282,12.17435729
1,11.5,-0.1797189,10.16153567,0.110676413,8.283364855,8.494999555,8.833485623,9.43527941,10.16153567,10.9546603,11.73160184,12.2276612,12.56308347
1,12.5,-0.179254,10.45885399,0.110118635,8.534275028,8.751264252,9.098245709,9.714941801,10.45885399,11.27087147,12.06594792,12.57340193,12.91645043
1,13.5,-0.17518447,10.7306256,0.109656941,8.762648582,8.984701111,9.339687673,9.970337596,10.7306256,11.55996332,12.37145331,12.88910809,13.23893338
1,14.5,-0.16932268,10.97992482,0.109273653,8.971407287,9.198222429,9.560722369,10.20441778,10.97992482,11.82524099,12.65174864,13.17867019,13.53462171
1,15.5,-0.1631139,11.20955529,0.10895596,9.163180317,9.394453831,9.763981751,10.41986276,11.20955529,12.06972515,12.91015164,13.44563963,13.80724431
1,16.5,-0.15770999,11.4220677,0.108694678,9.340328068,9.575756968,9.951839998,10.61910138,11.4220677,12.29616991,13.14968707,13.6932508,14.0601935
1,17.5,-0.15402279,11.61977698,0.108483324,9.504964014,9.744250626,10.12643352,10.80432929,11.61977698,12.50708008,13.37310558,13.92444193,14.29654774
1,18.5,-0.15276214,11.80477902,0.108317416,9.658974787,9.901830339,10.28967982,10.97752662,11.80477902,12.70472779,13.58290165,14.14187481,14.51909298
1,19.5,-0.15446658,11.9789663,0.108193944,9.804039109,10.05018686,10.44329524,11.14047457,11.9789663,12.89116805,13.78133058,14.34795358,14.73034312
1,20.5,-0.15952202,12.14404334,0.108110954,9.941644878,10.19082308,10.58881155,11.2947714,12.14404334,13.06825426,13.9704249,14.54484233,14.93255878
1,21.5,-0.16817926,12.30154103,0.108067236,10.07310549,10.32507004,10.72759156,11.44184727,12.30154103,13.23765258,14.15200982,14.73448194,15.12776542
1,22.5,-0.1805668,12.45283028,0.108062078,10.19957488,10.45410181,10.86084353,11.58297823,12.45283028,13.40085582,14.3277181,14.91860604,15.31777023
1,23.5,-0.19670196,12.59913494,0.108095077,10.32206165,10.57894925,10.98963476,11.7192993,12.59913494,13.55919667,14.49900418,15.09875606,15.50417803
1,24.5,-0.21650121,12.74154396,0.108166005,10.4414422,10.70051298,11.11490406,11.85181666,12.74154396,13.71386029,14.6671577,15.27629562,15.68840631
1,25.5,-0.23979048,12.88102276,0.108274705,10.55847309,10.81957536,11.23747341,11.98141892,12.88102276,13.86589625,14.83331632,15.45242405,15.87169941
1,26.5,-0.26631585,13.01842382,0.108421024,10.67380261,10.93681171,11.35805876,12.10888759,13.01842382,14.0162298,14.99847794,15.62818936,16.05514188
1,27.5,-0.29575496,13.1544966,0.108604769,10.78798156,11.05280067,11.47727994,12.23490671,13.1544966,14.1656725,15.16351231,15.80450043,16.23967114
1,28.5,-0.32772936,13.28989667,0.108825681,10.90147346,11.168034,11.59566994,12.36007175,13.28989667,14.31493214,15.32917196,15.98213866,16.42608957
1,29.5,-0.36181746,13.42519408,0.109083423,11.01466395,11.28292555,11.7136834,12.48489772,13.42519408,14.46462206,15.49610261,16.16176896,16.61507584
1,30.5,-0.39756808,13.56088113,0.109377581,11.12786972,11.3978197,11.8317045,12.60982671,13.56088113,14.61526973,15.66485286,16.34395024,16.80719582
1,31.5,-0.43452025,13.69737858,0.109707646,11.24134752,11.51299966,11.95005435,12.73523417,13.69737858,14.76732387,15.83588308,16.52914562,17.00291386
1,32.5,-0.47218875,13.83504622,0.110073084,11.3552982,11.62869248,12.06899744,12.86143776,13.83504622,14.9211657,16.00957526,16.71773017,17.2025984
1,33.5,-0.51012309,13.97418199,0.110473238,11.46987977,11.74507947,12.18874835,12.98869905,13.97418199,15.07710916,16.18623873,16.91000241,17.40653835
1,34.5,-0.54788557,14.1150324,0.1109074,11.58520959,11.86229971,12.30947723,13.11723187,14.1150324,15.23541179,16.36611917,17.10619066,17.61494698
1,35.5,-0.5850701,14.25779618,0.111374787,11.70137143,11.98045644,12.43131521,13.24720657,14.25779618,15.3962791,16.54940494,17.30646132,17.8279717
1,36,-0.60333785,14.32994444,0.111620652,11.75978387,12.03991048,12.49268178,13.31277633,14.32994444,15.47772447,16.6423691,17.40816491,17.93624653
