Date,Open,High,Low,Close,Volume,Adj Close
2006-07-21,75.49,75.50,74.50,74.86,8372500,64.18
2006-07-20,75.73,75.88,75.20,75.48,12214900,64.71
2006-07-19,76.00,77.06,76.00,76.07,14536900,65.22
2006-07-18,73.70,74.42,72.73,74.26,8667500,63.67
2006-07-17,73.35,73.94,73.20,73.70,6822700,63.19
2006-07-14,74.24,74.30,73.37,73.57,6957800,63.07
2006-07-13,75.01,75.28,73.83,74.24,8754700,63.65
2006-07-12,76.07,76.30,74.82,75.48,8372100,64.71
2006-07-11,76.25,76.65,75.44,76.47,6086500,65.56
2006-07-10,76.18,76.83,75.87,76.67,7154700,65.73
2006-07-07,78.09,78.09,76.12,76.42,6641600,65.52
2006-07-06,77.59,78.53,77.57,78.09,4333100,66.95
2006-07-05,78.00,78.39,77.52,77.77,4047800,66.67
2006-07-03,77.54,78.27,77.27,78.02,3177300,66.89
2006-06-30,77.70,77.93,76.79,76.82,7911700,65.86
2006-06-29,76.89,77.80,76.56,77.59,5448900,66.52
2006-06-28,76.53,76.60,76.06,76.56,4392100,65.64
2006-06-27,77.32,77.60,76.32,76.63,5596800,65.70
2006-06-26,77.04,77.52,76.80,77.15,3448000,66.14
2006-06-23,77.15,77.84,76.94,77.10,4520600,66.10
2006-06-22,78.16,78.37,77.00,77.19,5563700,66.18
2006-06-21,77.99,78.56,77.98,78.30,5559100,67.13
2006-06-20,77.84,78.30,77.25,77.99,6124500,66.86
2006-06-19,77.90,78.30,77.34,77.67,5302100,66.59
2006-06-16,78.44,78.53,77.57,77.95,8133500,66.83
2006-06-15,77.85,78.78,76.95,78.56,6679400,67.35
2006-06-14,76.93,77.85,76.93,77.71,6038600,66.62
2006-06-13,77.14,77.93,76.82,76.93,7374100,65.95
2006-06-12,77.63,78.09,77.01,77.02,4924900,66.03
2006-06-09,77.24,78.10,77.05,77.63,6135400,66.55
2006-06-08,78.55,79.58,76.75,77.03,13474400,66.04
2006-06-07,79.78,80.74,79.12,79.15,7924800,67.86
2006-06-06,79.06,79.90,78.50,79.76,7250600,68.38
2006-06-05,79.10,80.04,79.01,79.06,5555800,67.78
2006-06-02,80.50,80.56,79.15,79.52,7232300,68.17
2006-06-01,79.89,80.87,79.81,80.69,4866500,69.18
2006-05-31,80.15,80.83,79.61,79.90,6384900,68.50
2006-05-30,80.35,80.96,80.15,80.16,5049100,68.72
2006-05-26,80.16,80.86,79.70,80.75,3580800,69.23
2006-05-25,79.89,80.18,79.65,80.14,3995000,68.71
2006-05-24,79.35,80.04,79.06,79.78,7389600,68.40
2006-05-23,80.25,81.30,79.64,79.83,5006400,68.44
